PRESIDENT,,,,"€240,716",,,,,,
,,,,,,,,,,
VICE PRESIDENT,,,,"€184,171",,,,,,
,,,,,,,,,,
ACADEMIC,,,,,,,,,,
SERVICE STAFF,,1,,,"€35,974",,,,,
,,2,,,"€36,736",,,,,
,,3,,,"€39,461",,,,,
,,4,,,"€39,657",,,,,
,,5,,,"€39,836",,,,,
,,6,,,"€39,933",,,,,
,,7,,,"€40,040",,,,,
,,8,,,"€40,040",,,,,
,,9,,,"€40,040",,,,,
,,10,,,"€40,040",,,,,
,,11,,,"€40,113",,,,,
,,12,,,"€40,226",,,,,
,,13,,,"€40,336",,,,,
,,14,,,"€40,451",,,,,
,,15,,,"€40,566",,,,,
,,,,,,,,,,
SERVICE STAFF SHIFT,,1,,,"€37,129",,,,,
,,2,,,"€37,898",,,,,
,,3,,,"€40,388",,,,,
,,4,,,"€40,578",,,,,
,,5,,,"€40,761",,,,,
,,6,,,"€40,861",,,,,
,,7,,,"€40,973",,,,,
,,8,,,"€41,074",,,,,
,,9,,,"€41,179",,,,,
,,10,,,"€41,284",,,,,
,,11,,,"€41,392",,,,,
,,12,,,"€41,506",,,,,
,,13,,,"€41,613",,,,,
,,14,,,"€41,733",,,,,
,,15,,,"€41,846",,,,,
,,,,,,,,,,
,PLANT MAINTENANCE AIDE,,1,,"€40,053",,,,,
,,,2,,"€43,995",,,,,
,,,,,,,,,,
,GROUNDS FOREPERSON,,1,,"€49,333",,,,,
,,,2,,"€50,369",,,,,
,,,3,,"€51,204",,,,,
,,,4,,"€52,137",,,,,
,,,5,,"€53,117",,,,,
,,,6,,"€54,078",,,,,
TEACHERS,,,,,,,,,,
,TEACHING FELLOW,,1,,"€62,069",,,,,
,,,2,,"€73,092",,,,,
,,,3,,"€77,007",,,,,
,,,4,,"€79,703",,,,,
,,,5,,"€83,634",,,,,
,,,6,,"€87,605",,,,,
,,,7,,"€91,562",,,,,
,,,8,,"€95,514",,,,,
,,,9,,"€99,471",,,,,
,,,,,,,,,,
,UNIVERSITY TEACHER,,1,,"€46,955",,,,,
,,,2,,"€49,543",,,,,
,,,3,,"€51,676",,,,,
,,,4,,"€53,644",,,,,
,,,5,,"€55,689",,,,,
,,,6,,"€57,323",,,,,
,,,7,,"€58,990",,,,,
,,,8,,"€60,654",,,,,
,,,9,,"€62,314",,,,,
,,,10,,"€63,965",,,,,
,,,,,,,,,,
,ASSOCIATE TEACHER,,1,,"€37,008",,,,,
,,,2,,"€39,126",,,,,
,,,3,,"€40,060",,,,,
,,4,,,"€41,945",,,,,
,,5,,,"€43,130",,,,,
,,6,,,"€44,464",,,,,
,,7,,,"€45,716",,,,,
,,8,,,"€46,978",,,,,
,,9,,,"€47,948",,,,,
,,10,,,"€50,419",,,,,
,,,,,,,,,,
CLINICAL,,,,,,,,,,
THERAPIES REGIONAL SUPERVISORS,,1,,,"€62,038",,,,,
REGIONAL PLACEMENT FACILITATOR,,2,,,"€63,360",,,,,
,,3,,,"€64,724",,,,,
,,4,,,"€66,076",,,,,
,,5,,,"€67,430",,,,,
,,6,,,"€68,853",,,,,
,,7,,,"€70,352",,,,,
,,8,,,"€71,848",,,,,
,,9,,,"€73,048",,,,,
,,,,,,,,,,
CLINICAL TUTOR,,1,,,"€66,452",,,,,
,,2,,,"€69,009",,,,,
,,3,,,"€71,509",,,,,
,,4,,,"€73,344",,,,,
,,5,,,"€75,794",,,,,
,,6,,,"€78,252",,,,,
,,,,,,,,,,
CLINICAL FELLOW,,1,,,"€74,499",,,,,
,,2,,,"€76,258",,,,,
,,3,,,"€78,804",,,,,
,,4,,,"€81,095",,,,,
,,5,,,"€84,824",,,,,
,,6,,,"€88,562",,,,,
,,7,,,"€92,294",,,,,
ULAC,,,,,,,,,,
based on 40hr week,,,,,,,,,,
Assistant Senior Instructor,,1,,,"€31,099",,,,,
,,,,,,,,,,
Lead Instructor,,1,,,"€29,370",,,,,
,,,,,,,,,,
Multi Activity Instructor (Grade 1),,1,,,"€25,334",,,,,
,,2,,,"€27,639",,,,,
,,,,,,,,,,
Multi Activity Instructor (Grade 2),,1,,,"€25,910",,,,,
,,,,,,,,,,
Assistant Instructor,,1,,,"€23,363",,,,,
,,2,,,"€25,576",,,,,
,,,,,,,,,,
CO-OP STUDENTS,,1,,,"€25,306",,,,,
,,2,,,"€25,350",,,,,
